pricing_id,route_id,fuel_surcharge_usd,port_charge_usd,demand_factor,risk_surcharge_usd,target_margin_percent
P234,R234,48,60,1.0,40,15
P235,R235,56,70,1.05,50,15
P236,R236,74,80,1.1,65,15
P237,R237,50,60,0.95,40,15
P238,R238,120,70,1.0,50,15
P239,R239,90,80,1.05,65,15
P240,R240,66,60,1.1,40,15
P241,R241,42,70,0.95,50,15
P242,R242,54,80,1.0,65,15
P243,R243,48,60,1.05,40,15
P244,R244,38,70,1.1,50,15
P245,R245,40,80,0.95,65,15
P246,R246,70,60,1.0,40,15
P247,R247,118,70,1.05,50,15
P248,R248,74,80,1.1,65,15
P249,R249,36,60,0.95,40,15
P250,R250,58,70,1.0,50,15
P251,R251,66,80,1.05,65,15
P252,R252,55,60,1.1,40,15
P253,R253,59,70,0.95,50,15
P254,R254,93,80,1.0,65,15
P255,R255,62,60,1.05,40,15
P256,R256,65,70,1.1,50,15
P257,R257,66,80,0.95,65,15
P258,R258,36,60,1.0,40,15
P259,R259,62,70,1.05,50,15
P260,R260,63,80,1.1,65,15
P261,R261,58,60,0.95,40,15
P262,R262,75,70,1.0,50,15
P263,R263,85,80,1.05,65,15
P264,R264,78,60,1.1,40,15
P265,R265,71,70,0.95,50,15
P266,R266,66,80,1.0,65,15
P267,R267,76,60,1.05,40,15
P268,R268,89,70,1.1,50,15
P269,R269,78,80,0.95,65,15
P270,R270,57,60,1.0,40,15
P271,R271,62,70,1.05,50,15
P272,R272,97,80,1.1,65,15
P273,R273,85,60,0.95,40,15
P274,R274,80,70,1.0,50,15
P275,R275,83,80,1.05,65,15
P276,R276,74,60,1.1,40,15
P277,R277,66,70,0.95,50,15
P278,R278,84,80,1.0,65,15
P279,R279,78,60,1.05,40,15
P280,R280,92,70,1.1,50,15
P281,R281,61,80,0.95,65,15
P282,R282,66,60,1.0,40,15
P283,R283,60,70,1.05,50,15
P284,R284,90,80,1.1,65,15
P285,R285,58,60,0.95,40,15
P286,R286,58,70,1.0,50,15
P287,R287,60,80,1.05,65,15
P288,R288,74,60,1.1,40,15
P289,R289,92,70,0.95,50,15
P290,R290,90,80,1.0,65,15
P291,R291,74,60,1.05,40,15
P292,R292,72,70,1.1,50,15
P293,R293,76,80,0.95,65,15
P294,R294,79,60,1.0,40,15
P295,R295,91,70,1.05,50,15
P296,R296,62,80,1.1,65,15
P297,R297,59,60,0.95,40,15
P298,R298,92,70,1.0,50,15
P299,R299,96,80,1.05,65,15
P300,R300,64,60,1.1,40,15
P301,R301,66,70,0.95,50,15
P302,R302,70,80,1.0,65,15
P303,R303,98,60,1.05,40,15
P304,R304,54,70,1.1,50,15
P305,R305,71,80,0.95,65,15
P306,R306,39,60,1.0,40,15
P307,R307,62,70,1.05,50,15
P308,R308,70,80,1.1,65,15
P309,R309,60,60,0.95,40,15
P310,R310,64,70,1.0,50,15
P311,R311,48,80,1.05,65,15
P312,R312,44,60,1.1,40,15
P313,R313,98,70,0.95,50,15
P314,R314,50,80,1.0,65,15
P315,R315,39,60,1.05,40,15
P316,R316,50,70,1.1,50,15
P317,R317,60,80,0.95,65,15
P318,R318,40,60,1.0,40,15
P319,R319,66,70,1.05,50,15
P320,R320,71,80,1.1,65,15
P321,R321,89,60,0.95,40,15
P322,R322,96,70,1.0,50,15
P323,R323,54,80,1.05,65,15
P324,R324,92,60,1.1,40,15
P325,R325,89,70,0.95,50,15
P326,R326,41,80,1.0,65,15
P327,R327,86,60,1.05,40,15
P328,R328,51,70,1.1,50,15
P329,R329,99,80,0.95,65,15
P330,R330,55,60,1.0,40,15
P331,R331,44,70,1.05,50,15
P332,R332,50,80,1.1,65,15
P333,R333,48,60,0.95,40,15
P334,R334,66,70,1.0,50,15
P335,R335,44,80,1.05,65,15
P336,R336,94,60,1.1,40,15
P337,R337,96,70,0.95,50,15
P338,R338,94,80,1.0,65,15
P339,R339,48,60,1.05,40,15
P340,R340,48,70,1.1,50,15
P341,R341,48,80,0.95,65,15
P342,R342,42,60,1.0,40,15
P343,R343,51,70,1.05,50,15
P344,R344,61,80,1.1,65,15
P345,R345,62,60,0.95,40,15
P346,R346,110,70,1.0,50,15
P347,R347,94,80,1.05,65,15
P348,R348,54,60,1.1,40,15
P349,R349,70,70,0.95,50,15
P350,R350,72,80,1.0,65,15
P351,R351,64,60,1.05,40,15
P352,R352,102,70,1.1,50,15
P353,R353,59,80,0.95,65,15
P354,R354,60,60,1.0,40,15
P355,R355,42,70,1.05,50,15
P356,R356,64,80,1.1,65,15
P357,R357,64,60,0.95,40,15
P358,R358,66,70,1.0,50,15
P359,R359,70,80,1.05,65,15
P360,R360,42,60,1.1,40,15
P361,R361,49,70,0.95,50,15
P362,R362,108,80,1.0,65,15
P363,R363,44,60,1.05,40,15
P364,R364,43,70,1.1,50,15
P365,R365,54,80,0.95,65,15
P366,R366,54,60,1.0,40,15
P367,R367,43,70,1.05,50,15
P368,R368,73,80,1.1,65,15
P369,R369,64,60,0.95,40,15
P370,R370,98,70,1.0,50,15
P371,R371,104,80,1.05,65,15
P372,R372,48,60,1.1,40,15
P373,R373,101,70,0.95,50,15
P374,R374,98,80,1.0,65,15
P375,R375,38,60,1.05,40,15
P376,R376,94,70,1.1,50,15
P377,R377,56,80,0.95,65,15
P378,R378,90,60,1.0,40,15
P379,R379,60,70,1.05,50,15
P380,R380,46,80,1.1,65,15
P381,R381,45,60,0.95,40,15
P382,R382,53,70,1.0,50,15
P383,R383,72,80,1.05,65,15
P384,R384,40,60,1.1,40,15
P385,R385,99,70,0.95,50,15
P386,R386,105,80,1.0,65,15
P387,R387,86,60,1.05,40,15
P388,R388,52,70,1.1,50,15
P389,R389,52,80,0.95,65,15
P390,R390,42,60,1.0,40,15
P391,R391,44,70,1.05,50,15
P392,R392,56,80,1.1,65,15
P393,R393,55,60,0.95,40,15
P394,R394,68,70,1.0,50,15
P395,R395,114,80,1.05,65,15
P396,R396,85,60,1.1,40,15
P397,R397,58,70,0.95,50,15
P398,R398,54,80,1.0,65,15
P399,R399,46,60,1.05,40,15
P400,R400,49,70,1.1,50,15
P401,R401,88,80,0.95,65,15
P402,R402,48,60,1.0,40,15
P403,R403,62,70,1.05,50,15
P404,R404,44,80,1.1,65,15
P405,R405,40,60,0.95,40,15
P406,R406,58,70,1.0,50,15
P407,R407,53,80,1.05,65,15
P408,R408,44,60,1.1,40,15
P409,R409,48,70,0.95,50,15
P410,R410,52,80,1.0,65,15
P411,R411,46,60,1.05,40,15
P412,R412,80,70,1.1,50,15
P413,R413,54,80,0.95,65,15
P414,R414,47,60,1.0,40,15
P415,R415,53,70,1.05,50,15
P416,R416,50,80,1.1,65,15
P417,R417,46,60,0.95,40,15
P418,R418,50,70,1.0,50,15
P419,R419,87,80,1.05,65,15
P420,R420,76,60,1.1,40,15
P421,R421,52,70,0.95,50,15
P422,R422,84,80,1.0,65,15
P423,R423,67,60,1.05,40,15
P424,R424,40,70,1.1,50,15
P425,R425,78,80,0.95,65,15
P426,R426,47,60,1.0,40,15
P427,R427,80,70,1.05,50,15
P428,R428,47,80,1.1,65,15
P429,R429,45,60,0.95,40,15
P430,R430,43,70,1.0,50,15
P431,R431,53,80,1.05,65,15
P432,R432,46,60,1.1,40,15
P433,R433,38,70,0.95,50,15
P434,R434,82,80,1.0,65,15
P435,R435,72,60,1.05,40,15
P436,R436,76,70,1.1,50,15
P437,R437,54,80,0.95,65,15
P438,R438,46,60,1.0,40,15
P439,R439,49,70,1.05,50,15
P440,R440,52,80,1.1,65,15
P441,R441,46,60,0.95,40,15
P442,R442,54,70,1.0,50,15
P443,R443,53,80,1.05,65,15
P444,R444,81,60,1.1,40,15
P445,R445,76,70,0.95,50,15
P446,R446,58,80,1.0,65,15
P447,R447,54,60,1.05,40,15
P448,R448,61,70,1.1,50,15
P449,R449,62,80,0.95,65,15
P450,R450,59,60,1.0,40,15
P451,R451,82,70,1.05,50,15
P452,R452,42,80,1.1,65,15
P453,R453,58,60,0.95,40,15
P454,R454,60,70,1.0,50,15
P455,R455,62,80,1.05,65,15
P456,R456,58,60,1.1,40,15
P457,R457,58,70,0.95,50,15
P458,R458,66,80,1.0,65,15
P459,R459,66,60,1.05,40,15
P460,R460,75,70,1.1,50,15
P461,R461,92,80,0.95,65,15
P462,R462,62,60,1.0,40,15
P463,R463,58,70,1.05,50,15
P464,R464,82,80,1.1,65,15
P465,R465,79,60,0.95,40,15
P466,R466,68,70,1.0,50,15
P467,R467,65,80,1.05,65,15
P468,R468,58,60,1.1,40,15
P469,R469,94,70,0.95,50,15
P470,R470,100,80,1.0,65,15
P471,R471,71,60,1.05,40,15
P472,R472,82,70,1.1,50,15
P473,R473,87,80,0.95,65,15
P474,R474,58,60,1.0,40,15
P475,R475,82,70,1.05,50,15
P476,R476,84,80,1.1,65,15
P477,R477,90,60,0.95,40,15
P478,R478,56,70,1.0,50,15
P479,R479,70,80,1.05,65,15
P480,R480,54,60,1.1,40,15
P481,R481,80,70,0.95,50,15
P482,R482,65,80,1.0,65,15
P483,R483,52,60,1.05,40,15
P484,R484,61,70,1.1,50,15
P485,R485,88,80,0.95,65,15
P486,R486,88,60,1.0,40,15
P487,R487,80,70,1.05,50,15
P488,R488,80,80,1.1,65,15
P489,R489,62,60,0.95,40,15
P490,R490,67,70,1.0,50,15
P491,R491,85,80,1.05,65,15
P492,R492,80,60,1.1,40,15
P493,R493,58,70,0.95,50,15
P494,R494,72,80,1.0,65,15
P495,R495,88,60,1.05,40,15
P496,R496,86,70,1.1,50,15
P497,R497,44,80,0.95,65,15
P498,R498,36,60,1.0,40,15
P499,R499,80,70,1.05,50,15
P500,R500,74,80,1.1,65,15
P501,R501,21,60,0.95,40,15
P502,R502,26,60,1.0,40,15
P503,R503,41,60,1.05,40,15
P504,R504,38,60,1.1,40,15
P505,R505,74,70,0.95,50,15
P506,R506,76,70,1.0,50,15
P507,R507,74,70,1.05,55,15
P508,R508,56,70,1.1,50,15
P509,R509,38,60,0.95,40,15
P510,R510,34,60,1.0,40,15
P511,R511,25,60,1.05,40,15
P512,R512,42,60,1.1,40,15
P513,R513,39,60,0.95,40,15
P514,R514,38,60,1.0,45,15
P515,R515,35,60,1.05,40,15
P516,R516,76,70,1.1,50,15
P517,R517,78,70,0.95,50,15
P518,R518,76,70,1.0,55,15
P519,R519,58,70,1.05,50,15
P520,R520,28,60,1.1,40,15
P521,R521,75,70,0.95,50,15
P522,R522,76,70,1.0,50,15
P523,R523,76,70,1.05,55,15
P524,R524,42,60,1.1,40,15
P525,R525,38,60,0.95,40,15
P526,R526,38,60,1.0,45,15
P527,R527,34,60,1.05,40,15
P528,R528,26,60,1.1,40,15
P529,R529,57,70,0.95,50,15
P530,R530,44,70,1.0,55,15
P531,R531,45,70,1.05,50,15
P532,R532,44,70,1.1,55,15
P533,R533,54,70,0.95,50,15
P534,R534,56,70,1.0,55,15
P535,R535,60,70,1.05,50,15
P536,R536,53,70,1.1,50,15
P537,R537,42,70,0.95,50,15
P538,R538,42,70,1.0,55,15
P539,R539,52,70,1.05,50,15
P540,R540,54,70,1.1,55,15
P541,R541,118,70,0.95,50,15
P542,R542,116,70,1.0,55,15
P543,R543,130,70,1.05,50,15
P544,R544,124,80,1.1,65,15
P545,R545,128,80,0.95,60,15
P546,R546,112,70,1.0,55,15
P547,R547,121,70,1.05,50,15
P548,R548,120,70,1.1,55,15
P549,R549,129,70,0.95,50,15
P550,R550,125,80,1.0,65,15
P551,R551,124,70,1.05,50,15
P552,R552,122,70,1.1,55,15
P553,R553,135,80,0.95,60,15
P554,R554,131,80,1.0,65,15
P555,R555,134,80,1.05,60,15
P556,R556,120,70,1.1,50,15
P557,R557,119,70,0.95,55,15
P558,R558,132,80,1.0,60,15
P559,R559,129,80,1.05,65,15
P560,R560,132,80,1.1,60,15
P561,R561,142,70,0.95,50,15
P562,R562,140,70,1.0,55,15
P563,R563,68,60,1.05,40,15
P564,R564,64,60,1.1,40,15
P565,R565,74,70,0.95,50,15
P566,R566,88,60,1.0,40,15
P567,R567,86,60,1.05,45,15
P568,R568,80,60,1.1,40,15
P569,R569,79,60,0.95,45,15
P570,R570,125,70,1.0,50,15
